site	spec	elevation	forest	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	obs1999	obs2000	obs2001	obs2002	obs2003	obs2004	obs2005	obs2006	obs2007	first1999	first2000	first2001	first2002	first2003	first2004	first2005	first2006	first2007
NA.56	Coaltit	960	72	NA	3	3	5	9	6	8	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
399	Coaltit	340	42	1	0	0	1	0	1	0	0	0	221	2353	2353	2353	2353	3310	3310	3310	3310	1	1	0	0	0	1	0	0	0
138	Coaltit	550	72	NA	1	1	0	0	0	2	0	1	NA	1674	1674	1674	1674	1674	1674	1674	1674	NA	1	0	0	0	0	0	0	0
402.1	Coaltit	1320	79	8	10	9	9	13	14	11	21	22	3082	3082	3082	3082	3082	3082	3082	3082	3082	1	0	0	0	0	0	0	0	0
403	Coaltit	260	47	1	0	0	0	0	2	4	1	1	1728	1728	1728	1728	1728	1728	1728	1728	1728	1	0	0	0	0	0	0	0	0
141.1	Coaltit	2010	26	1	3	NA	4	11	14	8	14	9	3265	3265	NA	3265	3265	3265	3265	3265	3265	1	0	NA	0	0	0	0	0	0
408.1	Coaltit	1130	56	16	35	10	9	20	19	20	11	24	1557	1557	1557	1557	1557	1557	1557	1557	1856	1	0	0	0	0	0	0	0	1
NA.57	Coaltit	1480	20	2	1	0	0	NA	1	3	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.58	Coaltit	1910	18	2	4	4	3	5	4	5	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147.1	Coaltit	1630	33	3	3	2	9	9	9	10	12	16	1828	1828	2153	3265	3265	3265	3265	3265	3265	1	0	1	1	0	0	0	0	0
415.1	Coaltit	1540	21	7	8	4	10	11	9	13	3	12	3161	3161	3161	3161	3161	3161	3161	3161	3161	1	0	0	0	0	0	0	0	0
416.1	Coaltit	1340	39	21	34	23	23	39	41	35	23	36	3196	3196	3196	3196	3196	3196	3196	3196	3196	1	0	0	0	0	0	0	0	0
417.1	Coaltit	1180	69	29	34	14	22	23	35	31	21	21	1834	1834	1834	1834	1834	1834	1107	1107	1107	1	0	0	0	0	0	1	0	0
149	Coaltit	830	42	30	34	25	24	33	29	32	25	22	1612	1612	1612	1612	1612	1612	1612	1612	1612	1	0	0	0	0	0	0	0	0
418	Coaltit	670	19	NA	13	8	NA	8	10	10	7	5	NA	1463	1463	NA	1463	1463	1463	1463	1463	NA	1	0	NA	0	0	0	0	0
150.1	Coaltit	540	98	25	26	47	35	22	20	25	18	24	1834	1795	3285	3285	3285	3285	3285	2440	2440	1	1	1	0	0	0	0	1	0
NA.59	Coaltit	1410	52	20	19	10	14	17	17	18	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
420.1	Coaltit	1320	90	32	41	21	28	35	29	43	13	30	2060	2060	2060	2060	2060	2060	2060	3310	3310	1	0	0	0	0	0	0	1	0
423.1	Coaltit	1290	10	5	4	4	6	4	10	13	9	11	1828	1828	2153	1828	1828	1828	3297	3265	3265	1	0	1	0	0	0	1	1	0
NA.60	Coaltit	890	50	9	9	4	2	3	1	14	20	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
426	Coaltit	580	54	NA	18	12	12	18	15	15	12	15	NA	3256	3256	3256	3256	3256	3256	3256	3256	NA	1	0	0	0	0	0	0	0
153	Coaltit	500	9	2	2	1	2	1	1	3	1	2	1052	1052	1052	1052	1052	1052	1052	1052	1052	1	0	0	0	0	0	0	0	0
NA.61	Coaltit	1220	51	NA	43	25	28	34	40	41	33	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.62	Coaltit	2020	NA	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
428.1	Coaltit	710	35	19	20	20	26	34	35	28	23	23	2217	2217	2217	2217	2217	2217	2217	2217	2217	1	0	0	0	0	0	0	0	0
NA.63	Coaltit	1820	57	9	18	8	15	16	19	18	25	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
156	Coaltit	1940	2	0	1	1	0	2	2	3	1	1	1644	1644	1644	1644	1644	1644	1644	1644	1644	1	0	0	0	0	0	0	0	0
157	Coaltit	920	42	8	14	10	NA	8	16	26	25	26	1712	1463	1463	NA	1463	3256	3256	3256	3256	1	1	0	NA	0	1	0	0	0
430	Coaltit	520	18	1	2	11	8	7	6	7	5	5	144	144	3285	1961	1961	2518	2518	2518	3331	1	0	1	1	0	1	0	0	1
158.1	Coaltit	1890	12	0	0	0	0	1	0	2	0	2	2120	1961	1458	1458	1458	1379	3318	3318	2420	1	1	1	0	0	1	1	0	1
431.1	Coaltit	1650	34	7	10	6	8	4	8	9	4	13	1771	1961	3273	3273	3273	3273	3273	3273	3273	1	1	1	0	0	0	0	0	0
159.1	Coaltit	1390	68	21	26	18	30	28	23	36	23	27	1805	1805	1805	2197	1805	2197	2197	2197	2197	1	0	0	1	0	0	0	0	0
432.1	Coaltit	1390	63	9	19	6	9	17	16	23	13	8	174	174	174	174	174	174	174	174	174	1	0	0	0	0	0	0	0	0
160.1	Coaltit	1290	48	31	22	14	14	17	20	25	16	14	3258	3258	3258	1992	3022	2234	1107	1107	1107	1	0	0	1	1	1	1	0	0
436.1	Coaltit	1810	33	7	8	5	12	9	9	9	NA	3	2120	1961	1961	2345	2345	2345	2345	NA	2345	1	1	0	1	0	0	0	NA	0
162.1	Coaltit	1130	90	19	32	35	34	38	34	47	36	35	1028	1028	1028	1028	1028	1028	1028	1028	1028	1	0	0	0	0	0	0	0	0
163	Coaltit	480	33	7	12	11	18	16	13	17	15	5	1889	1889	1889	1889	1889	1889	1889	1889	1889	1	0	0	0	0	0	0	0	0
438.1	Coaltit	1040	37	29	30	12	19	29	12	22	20	18	2007	2007	2007	2007	2007	2007	2007	2007	2007	1	0	0	0	0	0	0	0	0
164	Coaltit	410	8	1	1	5	0	1	0	2	0	1	2214	2214	2214	2214	2214	2214	2214	2214	2214	1	0	0	0	0	0	0	0	0
NA.64	Coaltit	2030	36	NA	11	11	11	15	10	10	12	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.65	Coaltit	1880	66	29	25	9	26	25	25	22	29	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
166	Coaltit	950	56	10	24	18	23	20	22	26	14	12	1902	1902	1902	1902	1902	1902	1902	1902	1902	1	0	0	0	0	0	0	0	0
444	Coaltit	950	41	30	38	23	26	19	20	27	21	27	1992	1992	1992	1992	1992	2234	2234	3256	2423	1	0	0	0	0	1	0	1	1
445.1	Coaltit	1070	63	14	14	10	13	13	15	20	8	22	1118	1961	1458	1458	1458	1458	1458	1458	1458	1	1	1	0	0	0	0	0	0
169.1	Coaltit	1350	35	32	28	22	23	24	27	21	17	15	1119	1119	1119	1119	1119	1119	1119	1119	1119	1	0	0	0	0	0	0	0	0
447	Coaltit	540	14	3	2	1	2	5	5	8	1	1	193	193	193	193	193	193	193	193	193	1	0	0	0	0	0	0	0	0
448	Coaltit	420	1	0	0	1	0	0	0	0	0	0	1994	1994	1994	1994	1994	1994	1994	1994	1994	1	0	0	0	0	0	0	0	0
450.1	Coaltit	1420	27	9	18	12	12	6	13	17	18	12	3272	3272	3272	3272	3272	3272	3272	1760	2687	1	0	0	0	0	0	0	1	1
NA.66	Coaltit	1980	6	2	2	4	3	3	4	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
174.1	Coaltit	1180	58	26	25	26	30	50	45	41	25	46	1895	1895	1895	1895	1895	1895	1895	1895	1895	1	0	0	0	0	0	0	0	0
175.1	Coaltit	2010	9	2	4	2	3	4	4	6	4	7	3034	3034	3034	3034	3034	3034	3034	3034	3034	1	0	0	0	0	0	0	0	0
NA.67	Coaltit	2220	14	1	2	1	1	1	2	4	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
459.1	Coaltit	2310	2	0	1	1	1	2	0	0	0	0	1452	1452	1452	1452	1452	1452	1452	2655	2655	1	0	0	0	0	0	0	1	0
NA.68	Coaltit	2190	30	11	24	10	11	18	13	27	19	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
182.1	Coaltit	1770	93	24	28	21	29	31	30	31	24	36	3032	3032	3032	3032	3032	3032	3032	3032	3032	1	0	0	0	0	0	0	0	0
465.1	Coaltit	1830	82	33	26	22	37	60	36	66	50	57	1256	1255	1255	1256	3297	3297	3297	3297	3297	1	1	0	0	1	0	0	0	0
468.1	Coaltit	1870	81	33	20	21	25	52	33	67	47	55	1255	1255	1255	1255	3297	3297	3297	3297	3297	1	0	0	0	1	0	0	0	0
184.1	Coaltit	1840	82	42	22	39	39	47	37	48	33	49	1515	1515	1515	1515	1515	1515	1515	1515	1515	1	0	0	0	0	0	0	0	0
NA.69	Coaltit	1820	69	21	24	27	22	26	34	39	35	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.70	Coaltit	1850	53	40	22	31	27	34	39	29	55	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
